not to my knowledge,pas à ma connaissance,,,
cunning,rusé,,,
ruthless,impitoyable / sans pitié,,,
outline (verbe),présente/expose,,,
outshine,éclipser/surpasser,,,
stealth,furtivité,,,
conceal,dissimuler,,,
crush,ecraser,,,
wield,brandir / utiliser / manier,,,
wary (be wary),mefiance (se mefier),,,
thwart,déjouer / contrecarrer,,,
conspicuous,ostensible / visible,,,
stand out,se démarquer,,,
to lure someone,attirer / tromper qqn,,,
resentment,ressentiment/rancune/rancoeur,,,
probe,sonde,,,
helpless,impuissant,,,
devious,sournois,,,
democratic yet devious,démocratique mais sournois,,,
outwit,dépasser/devancer/déjouer,,,
glittering,scintillant/étincelant,,,
cauldron, chaudron,,,
simmered, mijoté,,,
stir, remuer,,,
outwardly, en apparence,,,
inwardly, intérieurement,,,
deceive, tromper,,,
deceit,tromperie/fourberie,,,
beware, attention,,,
hindered, empêché,,,
the only means, le seul moyen,,,
flaunt, afficher/exhiber,,,
whinning, pleurnicher,,,
pitfall, piège/écueil,,,
resentful, rancunier,,,
oath, serment,,,
lure, leurre/appât,,,
potent, puissant,,,
blunders, dérapages/maladresses,,,
as you can muster, que vous pouvez rassembler,,,
thrive, s'épanouir/prospérer,,,
lurking,en train de rôder,,,
carve,sculpter/tailler/découper,,,
 lavish, somptueux,,,
 completion, achèvement des travaux,,,
 shruberry, arbustes,,,
 to witness,assister à/ être témoin de ,,,
witness (nom),témoin,,,
outdone,surpassé,,,
 dull, terne,,,
 to be spared, d'être épargné,,,
 deadly, mortel,,,
 hauled, tracté/transporté,,,
 flatter, adoucir,,,
 bestow on , accorder à /conférer à,,,
 ascribe, attribuer,,,
 odious, odieux,,,
discreetly, discrètement,,,
 downfall, chute,,,
 hasten, se hâter/précipiter,,,
 discreetly hasten his downfall, précipiter discrètement sa chute,,,
 feeble,piètre/faible,,,
 weaken, affaiblir/fragiliser,,,
 peasant, paysan,,,
 perks, avantages,,,
 astonishment, étonnement/surprise,,,
 stable, écurie,,,
 former , ancienne ,,,
 dismissed , licencié/renvoyé,,,
 dwelling, habitation,,,
 ought, devrait,,,
 astutely, astucieusement,,,
 harsh, brutal,,,
 condescencion, condescendance,,,
 burden, charge,,,
 sharply, brusquement/vivement,,,
 awry, de travers,,,
 if your plans go awry, si vos plans tournent mal,,,
 realm of power, domaine du pouvoir,,,
,,,,
formally,officiellement,,,
mischievous, espiègle,,,
 on efficiency grounds, pour des raisons d'efficacité,,,
 and so forth, et ainsi de suite,,,
 etched, gravé (à l'eau),,,
 insight, aperçu,,,
 keenly, vivement,,,
strive, simple/sans détour,,,
 opt out, se désengager,,,
 deem, juger/voir comme/considérer comme,,,
 pour diriger/pour orienter,s'efforcer de,,,
 acknowledge, reconnaître,,,
 to steer,pour diriger/ pour orienter,,,
 fenced off, clôturé/délimité,,,
 unfailingly, infailliblement,,,
 depiction, représentation,,,
 overwhelming, accablant,,,
 overwhelmed, submergé/débordé,,,
 forecast, prévision,,,
 unlike, contrairement à,,,
 assumptions, hypothèses,,,
 more broadly, de manière plus générale,,,
 strenuously, vigoureusement,,,
 solely, uniquement,,,
are more likely,sont plus susceptible,,,
regardless of,indépendamment de/ que lque soit,,,
 cashew, noix de cajou,,,
 nibble , grignoter ,,,
 entiretety, intégralité,,,
 mindlessness, étourderie,,,
 arousal, excitation,,,
 farsighted, clairvoyant/prévoyant,,,
 welfare, bien-être,,,
 by assessing, en évaluant,,,
 assess, évaluer,,,
 embodiment, incarnation,,,
 embedded, intégré/incorporé,,,
 drudgery, corvée,,,
 point out, souligner,,,
as you,au fur et à mesure que/en,,,
 buckle , boucler (la ceinture),,,
 stroll, balade,,,
 quite, tout à fait,,,
 redeem, racheter/rembourser,,,
 whopping, énorme,,,
 tremendous, formidable,,,
 utterly, tout à fait/totalement/complètement,,,
boredom,ennui,,,
sidewalk,trottoir,,,
overview,vue d'ensemble,,,
convey,transmettre,,,
blunder,gaffe,,,
 stab, poignarder,,,
 unbeknownst to, à l'insu de,,,
 unwavering, inébranlable,,,
unresponsive,insensible/peu réceptif,,,
wrath, colère,,,
 dislodge, déloger,,,
 dismissive/despise, mépriser,,,
 accordingly, en conséquence,,,
fueled by,alimenté par,,,
bestowed,accordé/conféré/octroyé,,,
slip,glisser,,,
gauge,jauger,,,
forecast, prévoir,,,
 foresight, prévoyance,,,
depicting,décrivant/dépeignant/représentant,,,
 swindle, escroquerie,,,
incentive,incitation,,,
 frailties,fragilités,,, 
mindlessly,sans réfléchir/aveuglément,,,
overcome,surmonter,,,
freak me out,m'effrayer,,,
freak ,bizarre/non conventionnel,,,
wander,errer/vagabonder,,,
compliant,conforme,,,
tame,apprivoiser,,,
disclosure,divulgation/déclaration,,,
barter,troc,,,
to remedy rhis,pour remédier à,,,
oversee,superviser,,,
breeze,brise,,,
haven,refuge,,,
household,foyer/ménage,,,
mild,léger,,,
hassle,tracas,,,
mild hassle,léger tracas,,,
compound,composé,,,
vicariously,par procuration,,,
keenly,vivement/attentivement,,,
delve,creuser/plonger,,,
burden,charge,,,
scoundrel,scélérat,,,
dread,terreur,,,
stiff,raide,,,
withdrawal,retrait,,,
rebate,rabais/remise,,,
inconvenient time,moment inopportun,,,
hurdle,haie,,,
willingness,volonté,,,
toll,péage,,,
slipped out of ,à glissé de,,,
swelling ,gonflement ,,,
shattered ,éclaté/brisé ,,,
neat ,soigné,,,
tidy,bien rangé ,,,
delighted,enchanté ,,,
former,ancien,,,
warfare,,,,